DISTRICTNAME,Latitude,Longitude
Bagalkot,16.063833,75.924106
Bagalkot,15.899076,75.932457
Bagalkot,16.09851,75.857045
Bagalkot,15.985381,75.870481
Bagalkot,16.097321,75.948619
Bagalkot,16.093687,75.864756
Bagalkot,16.056013,75.958237
Bagalkot,16.135706,75.917571
Bagalkot,16.099348,75.850158
Bagalkot,16.135827,75.919221
Bagalkot,16.070608,75.959307
Bagalkot,16.092199,75.869606
Bagalkot,16.092257,75.867214
Bagalkot,15.93417,75.879748
Bagalkot,16.061612,75.925439
Bagalkot,16.092431,75.865433
Bagalkot,16.083886,75.904352
Bagalkot,16.087244,75.897017
Bagalkot,16.055873,75.945902
Bagalkot,16.056978,75.943648
Bagalkot,16.056844,75.975132
Bagalkot,16.083766,75.904571
Bagalkot,16.111022,75.890406
Bagalkot,16.091968,75.873126
Bagalkot,16.097865,75.860943
Bagalkot,15.950164,75.952384
Bagalkot,16.058025,75.938222
Bagalkot,15.961122,75.915606
Bagalkot,16.089249,75.869187
Bagalkot,15.928872,75.881013
Bagalkot,16.098729,75.855943
Bagalkot,16.057126,75.946552
Bagalkot,16.073867,75.959665
Bagalkot,15.986975,75.90059
Bagalkot,16.064087,75.924273
Bagalkot,16.138377,75.91619
Bagalkot,16.092219,75.873248
Bagalkot,15.933968,75.884584
Bagalkot,16.074873,75.921105
Bagalkot,15.934318,75.879312
Bagalkot,15.934547,75.886343
Bagalkot,16.129189,75.952133
Bagalkot,16.10885,75.923789
Bagalkot,16.061427,75.869575
Bagalkot,16.11368,75.876216
Bagalkot,16.057654,75.9385
Bagalkot,16.056977,75.97667
Bagalkot,16.080778,75.910941
Bagalkot,16.058068,75.94061
Bagalkot,16.06321,75.924546
Bagalkot,16.05429,75.869788
Bagalkot,16.056537,75.943641
Bagalkot,15.928153,75.9214
Bagalkot,15.960983,75.860088
Bagalkot,15.939462,75.869741
Bagalkot,15.938216,75.871288
Bagalkot,16.082387,75.907454
Bagalkot,15.935512,75.897026
Bagalkot,16.057807,75.990067
Bagalkot,16.058792,75.933702
Bagalkot,16.137448,75.89697
Bagalkot,15.964185,75.966383
Bagalkot,16.059462,75.930457
Bagalkot,16.075308,75.920707
Bagalkot,15.911742,75.928245
Bagalkot,16.081628,75.873983
Bagalkot,16.058391,75.935628
Bagalkot,15.938607,75.915447
Bagalkot,16.078679,75.915618
Bagalkot,16.086508,75.898677
Bagalkot,16.139668,75.91741
Bagalkot,16.082332,75.907499
Bagalkot,16.093941,75.86463
Bagalkot,16.098566,75.856632
Bagalkot,16.002639,75.902538
Bagalkot,16.099255,75.850884
Bagalkot,15.935777,75.916076
Bagalkot,16.092248,75.865578
Bagalkot,16.036786,75.871039
Bagalkot,16.092121,75.873383
Bagalkot,16.054944,75.950843
Bagalkot,16.064731,75.923941
Bagalkot,16.073642,75.92228
Bagalkot,16.055146,75.953317
Bagalkot,16.03669,75.935767
Bagalkot,16.129182,75.952067
Bagalkot,16.013492,75.884934
